Grievance,RepliedGrievance
PART II TAB NOT SHOWING,"Now part II is available, please log in to fill the form."
Dashboard - Option/Choice Form (Part - II),"Now part II is available, please log in to fill the form."
I have paid fees and locked application but part 2 not showing,"Now part II is available, please log in to fill the form."
Part 2 yet nahi,"Now part II is available, please log in to fill the form."
I have paid the processing fees amount but still my CAP(part 2 ) form for choosing colleges is not opening even the option is not coming please look into this matter and kindly open the option because it's my addmission form which is very important,"Now part II is available, please log in to fill the form."
"APPLICATION FORM PART II IS NOT SHOWING/DISPLAYING, SERVER DOWN ISSUE, PLEASE FIX IT PERMENENTLY","Now part II is available, please log in to fill the form."
SITE BLOCKING TO FILL PART 2 FORM,"Now part II is available, please log in to fill the form."
"Post filling the Application Form (Part-1) and paying the registration fees, I do not see Part 2 (college selection screens). 

Please provide assistance.","Now part II is available, please log in to fill the form."
After completion of part I application form option to fill application part II was not available on site,"Now part II is available, please log in to fill the form."
Part 2 option not available,"Now part II is available, please log in to fill the form."
Not showing the college names and having login issues,"Now part II is available, please log in to fill the form."
The college in which I want to take admission is not coming,Please mention college name immediately to resolve this issue.
The college in which I want to take admission is not coming,Please mention college name immediately to resolve this issue.
part 2 is not open,"Now part II is available, please log in to fill the form."
part 2 is not open,"Now part II is available, please log in to fill the form."
"Dear Sir,
Unable to fill form part -2 since last 2 hrs Many times tries kept on refreshing but not available.
Please do needful as early as possible","Now part II is available, please log in to fill the form."
Application form Part 2 is not reflecting on the portal,"Now part II is available, please log in to fill the form."
"I have completed Part 1 and my status is showing as self-verified, but it is not showing me Part 2.","Now part II is available, please log in to fill the form."
I have filled and locked the first part of application form and then i had filled my second part of the application for the preferences. I was automatically logged out of the form and an error occured. I again tried after sometime but now i am not able to see the part 2 of the application . I need to lock my preferences . I am not able to do it. Look into it as early as possible.,"Now part II is available, please log in to fill the form."
I have filled and locked the first part of application form and then i had filled my second part of the application for the preferences. I was automatically logged out of the form and an error occured. I again tried after sometime but now i am not able to see the part 2 of the application . I need to lock my preferences . I am not able to do it. Look into it as early as possible.,"Now part II is available, please log in to fill the form."
Seat no - H029381 Passed in Feb-2025 . By mistaken i hv clicked on previously passed option and I am fresher student . So plz unlock my form so that i can change it to appropriate option .,Please provide the written letter with signature and upload the related document to Grievance
By mistakenly I have selected previous year option instead of freshers so I want fresher option to be selected please,Please provide the written letter with signature and upload the related document to Grievance
By mistakenly I have selected previous year option instead of freshers so I want fresher option to be selected please,Please provide the written letter with signature and upload the related document to Grievance
For filing Part II - option Form now showing,"Now part II is available, please log in to fill the form."
hi,"Now part II is available, please log in to fill the form."
option form part 2 not open,"Now part II is available, please log in to fill the form."
Need to select colleges but option is not showing on the portal,"Now part II is available, please log in to fill the form."
"part 2- college choice column not visible, pls guide","Now part II is available, please log in to fill the form."
Part 2 not open,"Now part II is available, please log in to fill the form."
i am not able to see part II cap option,"Now part II is available, please log in to fill the form."
part 2nat open,"Now part II is available, please log in to fill the form."
"payment we already made twice and now againg its showing PENDING  EVEN I DOWNLOADED THE APPLICATION FORM 
ALSO CAP PART 2 FORM TAB IS NOT SHOWING PLEASE ASAP CHECK INTO THE MATTER",Just relog Your account refresh the dashboard
option form showing error failed,Please provide issues screenshot
"hello sir/madam,
The given site has many problems but particularly after the form self verification, I am unable to see the Part 2 form that is college preference. Please help!

I attached the picture in the attachment plz find it.

Thank You.","Now part II is available, please log in to fill the form."
"No response from the help line and support email.

4 times admision fees paid",You will get your refund after 4 to 6 working day
on 26/05/2025 I have made payment but it was not updated then  on 27/05/2025 I have done payment 2nd time I also locked my form. again my form is reset and it is showing to pay again please check and update,kindly check after some time
The form two isn’t working and is showing failed and the fees locking category was blank,Just relog Your account refresh the dashboard
"Dear Sir/Madam,
We are filling out the 11th centralized admission form after the payment, but we can not see the option for ""vocational"". Please help me out with this. As I do not want to get a regular Arts, Commerce, or Science field. Kindly find the attached and help me to complete my form with the CAP option in ""vocational"".","6 मे 2025 च्या शासन निर्णयाप्रमाणे बायफोकल विषय किंवा hsvc विषयाचे प्रवेश आपण पोर्टल वर घेणार नाही आहोत. फक्त विज्ञान , कला आणि वाणिज्य या शाखेचेच प्रवेश ऑनलाइन पोर्टल वर घेतले जातील ."
"DEAR SIR / MADAM
AM DOING THE FOUR TIME PAYMNET ALL SUCESSFUL
ALSO IN DASHBORD SELF CERTIFIED SUCESSFUL 

WHAT A PROBLEM SOLVE IT","Now part II is available, please log in to fill the form."
जर एखाद्या मुलांनी बाय फोकल कम्प्युटर सायन्स किंवा क्रॉप सायन्स किंवा कोणताही विषय सायन्स मध्ये घेतलेला आहे त्या विद्यार्थ्यांनी हे वरील विषय घेतले आहेत की नाही हे आपण फायनल फॉर्म म्हणजेच पार्ट टू लॉक केल्यानंतर त्याची जी प्रिंट असते त्या प्रिंटमध्ये नोंद करून द्यावे. एखाद्या विद्यार्थ्याला जीईई किंवा नीट या परीक्षांसाठी त्या मुलाला किंवा विद्यार्थ्याला कंप्युटर सायन्स बाय फोकल मध्ये किंवा क्रॉप सायन्स बायफोकल मध्ये घ्यावे लागते आणि जर त्या मुलाने जनरल ग्रुप घेतला तर त्याला बायलॉजी व मॅथ्स हे दोन्ही विषय एकत्र शिकावं लागतील हे त्या मुलासाठी त्याचे रिझल्ट आणण्यामध्ये अवघड करू शकते कृपया आपण आपल्या अंतिम फॉर्म म्हणजेच पार्ट टू लॉक केल्यानंतर कोणता विषय घेतलेला आहे बाय फोकल कम्प्युटर सायन्स बाय फोकल क्रॉप सायन्स किंवा फक्त कम्प्युटर सायन्स क्रॉप सायन्स इत्यादी याची नोंद करून द्यावी ही नम्र विनंती आपण यावर योग्य तो निर्णय घ्याल ही नम्र विनंती,"6 मे 2025 च्या शासन निर्णयाप्रमाणे बायफोकल विषय किंवा hsvc विषयाचे प्रवेश आपण पोर्टल वर घेणार नाही आहोत. फक्त विज्ञान , कला आणि वाणिज्य या शाखेचेच प्रवेश ऑनलाइन पोर्टल वर घेतले जातील ."
"CAP Options not showing, showing as failed",Please first lock the your application form part I then your able to select the application part II
CAP Form Part 2 cannot be seen,"Now part II is available, please log in to fill the form."
I am filled up my daughter online form Dt. 21.05.2025 that time i have selected Out of Maharashtra option instead of Within Maharashtra state so i can not updated more information in ID No. 151328162874 and password is  Sonavane@7171 Please delete or reset registration login for above mentioned login ID so that i can restart the registration process form beginning.,"To request changes in your registration details, please submit a signed letter stating the changes required.
Attach a copy of your School Leaving Certificate, which must indicate that your previous school is located within Maharashtra.
Submit the letter and attachments through the Grievance section of the portal."
option form pdf not generate,Just relog Your account refresh the dashboard
The above mentioned students payment has been completed yet the payment status is shown to be Incomplete. The below attached is the screenshot regarding the payment details. Kindly let me know as soon as possible regarding this issue. Regards,kindly check after some time
"I have wrongly entered in registration details ‘previously appeared’ instead of ‘fresher’ what should i do to change it
Kindly help","We need your consent to change your status. Kindly share your details likes name, register mobile number, login id, mail id, seat number and 10th marksheet."
hi inhouse quota should be No but bimistakly it should be Yes,Please provide more details.
No complain,Thank You
"Dear Sir/Madam,
As mentioned in above subject while registering charges amount Rs.102.36 deducted 2 times but still showing amount is pending 
Please do needful and credit to me extra amount recieved to you please.
Registration login Id is
C1355575427

But still showing amount is pending.please do needful.

Thanks &Regards
Anushka Sandeep Bahirat
Mob.No.7972708170",Kindly attach the screenshot of payment
FILLED IN WRONG EXAMINATION YEAR 2024 MARCH INSTEAD OF 2025 MARCH AND SELECTED PASSED PREVIOUSLY PASSED INSTEAD OF FRESHER,"We need your consent to change your examination year. Kindly share your details likes name, register mobile number, login id, mail id, seat number and 10th marksheet."
Registration fee is 3 times paid by me but still it is showing pending . please take it seriously !,You will get refund within 7 working days and for issue kindly check after sometime
Registration fee is 3 times paid by me but still it is showing pending . please take it seriously !,Kindly attach screenshot of payment
"I need to re-create profile since seat number mentioned is incorrect. Kindly let me create new profile with same email and mobile number.

Thanks.","We need your consent to change your seat number. Kindly share your details likes name, register mobile number, login id, mail id, seat number and 10th marksheet."
"Amount Debited from UPI app but not credited on website.

Transaction ID - T2505281254424578861734

UTR No - 514812554274",Kindly check after sometime
"I have already submitted my application form successfully. However, today I am facing an issue – the application form is not displaying properly on the portal. Due to this technical problem, I am unable to complete and submit the option form.

Application Number: H0523399446
Name: sai sandip kale
I kindly request you to look into this matter urgently so that I can complete the option form process before the deadline.

Thank you for your support.",Just relog Your account refresh the dashboard
it is not showing my details i have already filled part 1 form and locked it yesterday still it is not showing information and it is showing fees are not paid,"We are trying to resolve this issue, please check after sometimes."
PREVIOUSLY PASSED ENTER MISTAKENLY,"We need your consent to change your status. Kindly share your details likes application id, name, register mobile number, login id, mail id, seat number and 10th marksheet."
"Dear Sir,
       Please change Application Status for Fresher. 
Login ID : K0390714940","We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet."
i forgot to upload undertaking in documents can i please upload it now,Please first unlock the your application form part II then Edit the your application part II
I done the payment successfully but the verification is not done,Kindly verify/check after sometime
i paid fees 3 times still showing that it is not paid,Kindly verify/check after sometime
"Despite of registration payment of Rs.100/- the website has been unable to acknowledge the same and therefore from the last 3 days I have been unable to fill the Second part of the form  (CAP options Part-ii)  and hence unable to process the said admission form.
kindly verify the same and do the needful as I am being late in form  filling and submission due to technical glitch of the said website.","Now part II is available, please log in to fill the form."
payment has been made twice but it is still showing payment pending,Kindly verify/check after sometime
My original date of birth 10/11/2007,"If your are SSC 2025 (fresher) passing student, you should not be able to edit or update details. Thankyou."
My original date of birth 10/11/2007,"If your are SSC 2025 (fresher) passing student, you should not be able to edit or update details. Thankyou."
"Payment is done but still it is shown as pending...
I have made two successful payments but still it is not shown...

Unable to proceed ahead...",You will get refund within 7 working days
Payment done but still asking for payment. Not able to select colleges. Showing failed messages,Kindly check after sometime
DURING FORM FILLING I PAID 3 TIMES FEES BUT PAYMENT IS NOT REFLECTING ON SERVER,You will get refund within 7 working days and Kindly check after sometime for the issue
"Hi, there is issue with my part 2 form, i am not able to do next step. pls guide.",Just relog Your account refresh the dashboard
The website is very slow,Kindly verify/check after sometime
"Dear Sir/Madam,
My daughter, Swara Jyotiba Shinde (Login ID: 85419519181), has a pending 11th admission fee status despite a successful UPI payment of Rs. 102.36.
The UPI Transaction Reference ID is 514716785154. The payment was made on 27th May. 
Please update her fee status.                                                                                                                                              Screenshot of payment is attached.                                                                                                                 Thank You",Kindly verify/check after sometime
We are requesting you regarding changes in intake of commerce stream our intake is 360 and here mentioned 120 so please rectify that,Kindly provide more details with screenshot.
PAYMENT HONE KE BAAD BHI PENDING DEKHA RAHA HAI,Kindly check after sometime
Payment procces is completed but not showing,Kindly check after sometime
11 th Form Complete,Okay
Payment is complete but still showing to make payment,Kindly check after sometime
cap option part2 error chose stream give notification failed,Kindly verify/check after sometime
Solve on urgent basis,Kindly verify/check after sometime
11 th Form Complete,Okay
11 th Form Complete,ok
11 th Form Complete,Done
11 th Form Complete,Okk
11 th Form Complete,Thankyou!
11 th Form Complete,Done
11 th Form Complete,Okk
some issue created,Kindly verify/check after sometime
PAYMENT THOUGH PAID 3 TIMES DOESNT REFLECT ON DASHBOARD,You will get refund within 7 working days and for issue kindly check after sometime
"Dear sir/madam,

I am writing to bring to your attention an issue regarding the payment of registration fees for FYJC admission application . Despite making the payment successfully, the amount paid is not reflected on the admission website, so made the payment again 

I have attached the relevant payment receipts and transaction details to this email for your reference. I had also reached out to the Shiksha Vibhag Mumbai, but unfortunately, the issue remains unresolved.

Furthermore, I would like to highlight that the admission website has been experiencing technical issues, making it difficult for me to fill and track my application status. The website's functionality problems have added to my frustration and anxiety regarding my application.

I kindly request you to look into this matter urgently and take necessary steps to:
1. Update the payment status on the admission website.
2. Refund the duplicate payment made.
3. Resolve the technical issues with the website to ensure smooth functionality for all applicants.

I would appreciate a prompt response regarding the actions being taken to resolve these issues. Please let me know if any additional information is required from my end.

Thank you for your attention to this matter.

Sincerely,
Sachin yadav",You will get refund within 7 working days and for your issue kindly check after sometime
"Dear Sir/Madam,
As mentioned in above subject while registering charges amount Rs.102.36 deducted 2 times but still showing amount is pending 
Please do needful and credit to me extra amount recieved to you please.
Registration login Id is
C1355575427

But still showing registration fee is pending.please do needful.
Already transaction no.received is 1)T2505261614043980657462
2)T2505261922073621480655
Thanks &Regards
Anushka Sandeep Bahirat
Mob.No.7972708170
Please do needfukkk6",You will get refund within 7 working days and for your issue kindly check after sometime
"Credit card payment made. receipt attached herewith. it is still showing as payment pending.

Yesterday I had locked the form Part I and started accessing part II but today it is again saying payment pending.",Kindly verify/check after sometime
"I have paid processing fees 3 times but still i am not able to access Lock Application for, though i was able to acces it initially. Attached documents for your reference, please advice accordingly",You will get refund within 7 working days
i have attach payment file proof and solve this problem and profile already lock what is problem .,Just relog Your account refresh the dashboard
i have attach payment file proof and solve this problem and profile already lock what is problem .,Just relog Your account refresh the dashboard
"I have already paid registration fees of Rs. 102.36 for Application Form No: A0359801869 on 27th May-2025 through UPI app of ICICI Bank. But the same is not reflecting on portal. The transaction ID is: 514717160806.
So today also I have made the similar payment through SBI UPI which is successful now. 
Please refund payment made on 27-05-2025 since I have made the payment two times. Transaction reciept is attached for reference.",Kindly verify/check after sometime
"I have already paid registration fees of Rs. 102.36 for Application Form No: A0359801869 on 27th May-2025 through UPI app of ICICI Bank. But the same is not reflecting on portal. The transaction ID is: 514717160806.
So today also I have made the similar payment through SBI UPI which is successful now. 
Please refund payment made on 27-05-2025 since I have made the payment two times. Transaction reciept is attached for reference.",Kindly verify/check after sometime
"Cant Unlock application. Registration fee also paid 4 times.
Plz do needful.",Just relog Your account refresh the dashboard
Unable to lock the Application Form Part I,Please provide the issues screenshot
FORM NOT COMPLETED WHY,Please provide the issues screenshot
"Application  Form No.-L0881779236
Dear Concerned,
We have already paid fees for above application form no. but it is still asking to make the payment again. Paid the fees again but it is not proceeding further. At first instance form was also locked but it is now showing as INCOMPLETE FORM I.  Attached are copies of receipt and locked form i.
Please look into the matter and do the needful.
Thanks and regards,
Babaji Bandgar F/O Sameer Bandgar,
Dharashiv.",Just relog Your account refresh the dashboard
"Amount Debited from UPI app 4 times but not Credited on website.

UTR Nos.
1. 514816053377
2. 514816135034
3. 100624366510
4. 100624257582",check after some times
"dear team,

please check, we could not open option for choose jr. colleges, kindly resolve urgently.",First lock the application part I then your are able to choose Jr colleges
form not unlock so we can not upload documents  and changes in my form,Just relog Your account refresh the dashboard
WANT TO EDIT SOME OF THE UPLOADED DOCUMENTS BUT THE FORM IS NOT GETTING UNLOCKED AND THE UNLOCK OPTION IS ALSO NOT DISABLED DESPITE SAME GREVIENCE IN MORNING THE PROBLEM HAS NOT BEEN RESOVED,Just relog Your account refresh the dashboard
I am paying 2 times payment but that form is not showing and education details is not shows so pls help me,kindly check after some time
I made Payment at 26/05/2025 at 3.44 pm but it was not updated so please update.,check after some times
"I have completed part 1 and locked the form, but today the locked form is not visible, and I am not able to proceed with CAP option part 2.",Just relog Your account refresh the dashboard
FEE PAID BUT FORM SHOWING FEE UNPAID AND UNABLE TO GET LOCK FOR FURTHER PROCESS I HAD PAID FEES THIRD TIME,Check after some time
"I am enclosing UDISE No: 27230700209 
I cannot getting this college on website
college name is SHRI T P Bhatia college in Kandivali west",Just relog Your account refresh the dashboard
problem for unlock,Just relog Your account refresh the dashboard
I HAD ALREADY PAID THE FEES AND LOCKED THE FORM AND COMPLETED WHOLE REGISTRATION PROCESS BUT TODAY IT IS SHOWING FEES IS UNPAID AND ALSO THERE IS NO OPTION TO UNLOCK THE FORM,Just relog Your account refresh the dashboard
FEE PAID BUT FORM SHOWING FEE UNPAID AND UNABLE TO GET LOCK FOR FURTHER PROCES WE MADE THRICE THIS FORM PAYMENT KINDLY SOLVE THE ISSUEM SCREENSHOT WITH THIS GRIEVENCE,Check after some time
"I have made payment for 3rd time however still it shows pending for payment.

All Grievances are marked resolved without any resolution and kindly let me know when I will receive refund for 2 payments made earlier via UPI.","Sorry for inconvenience caused, Your money will be credited in your account in 4 to 8 working days."
I HAVE REGISTER BUT MY SSC PASSING YEAR BY MISTEK MARCH 2024 SO PLEASE UPDATE MY OPTION MY PROFILE PASSING YEAR MARCH 2025,Kindly verify/check after sometime
Undertaking of Student for Documents Submission,ok.
No option for CBSE compartment student in Status option of qualification tab.,Please provide the screenshot
"DATE OF BIRTH WRONG

Please change my Date of Birth
My Correct Date of Birth - 10/11/2008","If you are an SSC student passing in the year 2025, you will not be able to edit or update your details. Otherwise Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet."
last payment is still pending at payment history,Kindly check after sometime
EXAMINATION BOARD  - SSC  RONG SELECT ANY OTHAR,"We need your consent to change your board. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet."
"Subject: Payment Done 3 Times – Still Showing ""Not Done"" for Admission
Respected Sir/Madam,
I, Dynaraj Dabhade, have paid the admission fee for 11th Standard three times, but the portal still shows ""Payment Not Done.""
Please find below the details:
Name: Dynaraj Dabhade
Class: 11th Standard
Payments Made: 3
Transaction IDs: [Add all 3 IDs]
Payment Dates: 26 and 28 may 2025 respectively 
Kindly update the status and resolve the issue at the earliest. Refund of extra payments may also be needed.",You will get refund within 7 working days
"Subject: Payment Done 3 Times – Still Showing ""Not Done"" for Admission
Respected Sir/Madam,
I, Dynaraj Dabhade, have paid the admission fee for 11th Standard three times, but the portal still shows ""Payment Not Done.""
Please find below the details:
Name: Dynaraj Dabhade
Class: 11th Standard
Payments Made: 3
Transaction IDs: [Add all 3 IDs]
Payment Dates: 26 and 28 may 2025 respectively 
Kindly update the status and resolve the issue at the earliest. Refund of extra payments may also be needed.",You will get refund within 7 working days
"Subject: Payment Done 3 Times – Still Showing ""Not Done"" for Admission
Respected Sir/Madam,
I, Dynaraj Dabhade, have paid the admission fee for 11th Standard three times, but the portal still shows ""Payment Not Done.""
Please find below the details:
Name: Dynaraj Dabhade
Class: 11th Standard
Payments Made: 3
Transaction IDs: [Add all 3 IDs]
Payment Dates: 26 and 28 may 2025 respectively 
Kindly update the status and resolve the issue at the earliest. Refund of extra payments may also be needed.",You will get refund within 7 working days
"Subject: Payment Done 3 Times – Still Showing ""Not Done"" for Admission
Respected Sir/Madam,
I, Dynaraj Dabhade, have paid the admission fee for 11th Standard three times, but the portal still shows ""Payment Not Done.""
Please find below the details:
Name: Dynaraj Dabhade
Class: 11th Standard
Payments Made: 3
Transaction IDs: [Add all 3 IDs]
Payment Dates: 26 and 28 may 2025 respectively 
Kindly update the status and resolve the issue at the earliest. Refund of extra payments may also be needed.",You will get refund within 7 working days
Payment issue,Please provide the issue screenshot
PLEASE UPLOAD SSC MARKSHEET AS I HAVE MISTAKELY UPOLAD ANOTHER CANDIDATE MARKSHEET,Kindly unlock your form and re-upload your marksheet for verification.
we cannnot serarch collages by UDISE no.   kindly do the needful.,"Please select your stream and medium (mandatory fields) first, then search for colleges based on your preferences."
"Dear sir ,

My self Shreya Vinod Patil FYJC application form no.151966198821
during online registration for FYJC admission.  I was by mistake tick repeater student instead of fresher student in registration details application part-1, that unable to change now even after unlock application form.
My register mail ID is vinod5.patil@ril.com
I am fresher student & want to apply for the same.
In registration details please make changes as fresher student

Please do needful & help me.

Regards,
Shreya Vinod Patil
Application form No.151966198821
Mob No 6353705214","We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet. Also write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
Fees already paid but it is not updated on portal yet and asking for payment again,Kindly verify/check after sometime
"I want to change my DOB but it not getting edited, change my DOB to 06/06/2008, kindly do the same",We get data from board
FRESH STUDENT,"We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet. Also write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
FRESH STUDENT,What is your problem?
"Name -Krishang Rupesh Aroda
Phone number-9969776673
Email id-Krishangaroda9@gmail.com
Login id- A3385914136
Seat number -A338591",Fill application form
Payment done on 27/05/2025 till not showing in login upi ref no 514717629252,Kindly verify/check after sometime
DEAR SIR I HAVE WRONG MY BOARD .I HAVE PASSED MAHARASHTRA STATE BOARD BUT FORM FILL TO WRONG BOARD PLZ CHANGE MY BOARD,Give me Details
i have selected erliyaer passed option during the registartion time but achualy i am eligibale for fresher how i can change it . i need apply with fresher plz revert soon 8308548533,"We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet. Also write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
payment done but is shows to do again,Kindly check after sometime
"after 24 hours, the site is not showing me any update, can i do second payment and lock my form?",Kindly check after sometime
Shirpur,Shirpur
मला ज्या कॉलेजमध्ये ऍडमिशन घ्यायचा आहे त्या कॉलेजच्या नाव येत नाहीये त्या कॉलेजचे नाव आहे वाघिरे कॉलेज सासवड कला वाणिज्य आणि विज्ञान,"Please select your stream and medium (mandatory fields) first, then search for colleges based on your preferences."
Payment done by Gpay at 27/05/2025 but not reflect in the portal please rectifi the problem,Kindly check after sometime
"I have uploaded my Xerox of marksheet instead of Original Mark sheet. My delete and upload option has been blocked.
Please unlock it so that I can correct my mistake.
Respectfully Yours,
Gunjan Jain",No problem. Please submit your original marksheet during verification at the college.
"respected mam/sir
 i paid the fees.  the amount is debited from my account but online in form its not showing. they are saying pay the fees m attaching screenshot of it. please let me know what to do.",Kindly check after sometime
NOT ALE TO MOVE AHEAD BECAUSE OF PENDING PAYMENT STATUS. I HAVE PAID ALSO,Kindly check after sometime
"""We have completed the payment, but it is not reflecting as successful. I am also attaching a screenshot of the payment for your reference.""",Kindly check after sometime
Please clear gravience,Kindly check after sometime
"Dear Team, I am unable to pay my application form fee through my Debit Card. I have tried multiple times, Hence I could not be able to validate the transactions. So I request you to give me an option to submit the form and get the form refresh for payment purpose. Thank you in advance.",Kindly check after sometime
Under Management Quoted Unable to Select  27230300484 as first MAnagement Preference,Please try again.
i'm Anuja Kailas Mule Login id K1386855131 Payment not update plz solve this problem,Kindly check after sometime
my bank account debited succsfully but stats show pending please check and do a needfull help,Kindly check after sometime
payment pending,Kindly check after sometime
There Is No Pement Option In My Login,Kindly check after sometime
unable to make payment and payment window does not open.,Kindly check after sometime
We have tried to do payment on three occasions but due to website issue same has not been deducted. But the Payment Validate screen is not moving forward. Hence not able to make payment.,Kindly check after sometime
"HELLO SIR/MADAM.
I'M MOHAMMAD SHEEBAN ANSARI MY 11TH ADDMISSION CAN'T COMPLETE BECUASE MY PAYMENT IS PENDING I'M PAY CALLPAYMNET BUT NOT COPLETE PLEASE CLEAR MY PROBLE",Kindly check after sometime
"We did 2 payment one with UPI and Credit card both are sucessful
Please help with refund for UPI transaction 

TXN Details A2656304504",You will get refund within 7 working days
माझ्या खात्यातून पैसे गेले पण pending दाखवत आहे .,Kindly check after sometime
"I have made online payment through Paytm on 5:40 pm, 27/05/2025 . UPI Ref No : 514717041896 Even after making the payment, the  registration payment date and transaction reference number have not been updated in the payment information. that is why it is showing as incomplete in the current status. Because of this i am not able to fill the form further. Please solve this problem as soon as possible.",Kindly check after sometime
PLEASE UPDATE PAYMENT STATUS AS SOON AS POSSIBLE,Kindly check after sometime
"RESPECTED SIR
I  HAVE FACE THE PROBLEM IN PAYMENT OPTION. PAYMENT OPTION NOT WORK PROPER. HERE I ATTACH THE SCREENSHOT .
KINDLY GUIDE US",Just relog Your account refresh the dashboard
i Jituraj Omprakash Singh having User id A0899771543 WHILE CREATING PROFILE I WORGLY SELECT PREVIOUSLY PASSED OPTION INSTED FRESHER SO KINDLY MAKE CHANGE IT TO FRESHER I PASSED 10 IN 2025 SEAT NO A089977 ADDRESS SAMBHAJI NAGAR AT POST ASANGAON TALUKA SHAHAPUR DIST THANE DOB 06.11.2008 GENDER MALE MOBILE NO 9372648387  FOR YOUR SUPPORT I BEING HERE ATTECHED PROFILE PICTURE.,Please provide the written letter with signature and upload the related document to Grievance
no refund received yet on the accounts through which the money around 400 rupees was sent.,You will get your refund after 4 to 6 working day
"Student Name : Komal Jayendra Gawade
Seat No. B020828
Application No. B0208289930
What Can I Do?  Please Help Me.",This issues is solve please Just relog Your account
"Sir/ Madam 
Kindly check if my form is complete",N/A
"I am writing to request a correction in my FYJC Mumbai admission application form. While filling the form, I mistakenly selected the wrong option under the 'Fresher / Repeater / previously passed' category. I am a fresher (appeared for SSC exam in 2025), but I accidentally selected 'Previously passed'.

Here are my details:

Full Name: [Farhan Mohammed Saeed Khan]

Application ID: [A3294804494]

SSC Board & Seat Number: [A329480]

School Name: [Tilak Nagar MPS]

Mobile Number: [8850115135]


Kindly help me correct this mistake at the earliest so that I do not face any issues in the admission process.

Thank you for your time and assistance.",Please provide the written letter with signature and upload the related document to Grievance
PLEASE SOLVE THIS PROBLEM,Just relog Your account refresh the dashboard
PLEASE SOLVE THIS PROBLEM,Just relog Your account refresh the dashboard
PLEASE SOLVE THIS PROBLEM,Just relog Your account refresh the dashboard
PLEASE SOLVE THIS PROBLEM,Just relog Your account refresh the dashboard
PLEASE SOLVE THIS PROBLEM,Just relog Your account refresh the dashboard
"on 27th may 2025 I paid registration fees but now unable to fill PART II. Please do the needfull. 
Transaction id - CICAgAjYi6unRQ
UPI id- 100624047573","Now part II is available, please log in to fill the form."
PAYMENT OPTION NOT SHOW,Just relog Your account refresh the dashboard
I WANT FILL BEST OF 5 MARKS I WANT CHANGE IN MATHMATICS MARKS BETTER IN ARTIFICIAL INTELLEGNECE,Please first unlock the your application form then change the your marks
"Dear Team

please allow to payment",Kindly check after sometime
"My payment is already done but it is showing pending, kindly do needful",Kindly check after sometime
"I am writing to inform you that I am unable to find the college.
 Kindly look into this issue and guide me on how to proceed.","Now part II is available, please log in to fill the form."
No,?
I have done payment but still it is showing pending it has been more than 24hours.Do look into the matter,Kindly check after sometime
"Unable to complete payment in admission processing fee as the site is not allowing to complete or even add a payment option, instead it is showing an error and states that prior transaction is still in progress. 
Would request to kindly fix this issue immediately.",Kindly check after sometime
"Res.Sir,
   I am unble to payment. due to it i am not filling my applicaiton form. Please payment link make available for me. so I can fill the form successfully.",Kindly check after sometime
"a default birth date is fixed and i am not able to change it 
even if i change and save it, the same issue occurs 
my changes are not reflected only for the date of birth section 
and my form is not locked its already in unlocked state

you can see the default date of birth in the given image",Just relog Your account refresh the dashboard
payment debit not recvied admisson portal plese update my payment,kindly check after 2 to 3 hour
This option has been showing for two days now.,kindly check after 1 to 2 hour
I have choosen inhouse quota admission option to yes instead of no I don't want to select the inhouse quota admission option to yes .,Please first unlock the your application form part II then change the your inhouse quota option
"I am not able to see all colleges, I have one college beside my house even that is not visible even after putting UDISE code",Kindly verify/check after sometime
i want complete application form but payment tab note validate. so please help,Please check after sometimes.
"DUE TO OVERSIGHT CLICKED ON PREVIOUSLY APPLIED OPTION
PLEASE RESET TO FRESHLY APPLIED 2025","We need your consent to change your status. Kindly share your details likes name, register mobile number, login id/application number, mail id, seat number and 10th marksheet. Also write a letter, mention your issue with your signature and attach 10th marksheet in grievance. Write grievance immediately."
Payment Debit but not update admisson portal plese upate my payment plese Vaildate option query,Kindly check after sometimes
"I am writing to formally report an issue I am facing while trying to pay my fees through the official website. Despite multiple attempts, the payment is not going through successfully.

I have followed all the required steps, and my card/UPI/bank details are valid and active. However, the transaction either remains in a pending status or fails without confirmation. Additionally, the ""Validate"" button provided on the page does not work when clicked, which prevents me from verifying the transaction.

This issue is causing a delay in completing my payment, and I am concerned it may affect my status or access to services.

I kindly request you to look into the matter and provide an alternative method or resolution at the earliest.",Kindly check after sometime
Navya vijay chandankar,please provide the valid details so we can solve your issue
